occupation_name,skills,knowledge,prompt,results,original_sentences
 usability tester,['design user interface'],[],"Take this sentence from a Job Posting.

""Talent to @@work creatively and analytically in a problem-solving environment@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@design user interface@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Talent to @@design user interface@@ in a problem-solving environment,"""Talent to @@work creatively and analytically in a problem-solving environment@@"""
 resilience manager,[],"['cloud security and compliance', ' process quality models']","Take this sentence from a Job Posting.

""##Agile## ( ##Scrum/Kanban )## Any full-stack experience""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##cloud security and compliance##, ## process quality models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Cloud security and compliance## ( ##process quality models## ) Any full-stack experience,"""##Agile## ( ##Scrum/Kanban )## Any full-stack experience"""
data analyst,['manage data'],['statistics'],"Take this sentence from a Job Posting.

""You have experience with @@building and maintaining a full-stack ##Node## application@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage data@@, and for knowledge: ##statistics##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You have experience with @@managing data@@ and a strong understanding of ##statistics##.,"""You have experience with @@building and maintaining a full-stack ##Node## application@@ ."""
 usability tester,[],['LINQ'],"Take this sentence from a Job Posting.

""Experience with high level ##software design/development## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##LINQ##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience with high level ##LINQ##.,"""Experience with high level ##software design/development## ."""
 network engineer,[],['R'],"Take this sentence from a Job Posting.

""##IPSeC VPNs##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##R##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##R##,"""##IPSeC VPNs##"""
data analyst,[],"['MDX', 'information architecture', 'data quality assessment', 'Hadoop']","Take this sentence from a Job Posting.

""We do all that with a strong focus on ##scalability## ##distribution## ##efficiency## and ##maintainability## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##MDX##, ##information architecture##, ##data quality assessment##, ##Hadoop##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","We do all that with a strong focus on ##MDX##, ##information architecture##, ##data quality assessment## and ##Hadoop##.","""We do all that with a strong focus on ##scalability## ##distribution## ##efficiency## and ##maintainability## ."""
 system integration consultant,['integrate  data'],['model based system engineering'],"Take this sentence from a Job Posting.

""##Image optimisation## and @@code efficiency@@ are key""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@integrate  data@@, and for knowledge: ##model based system engineering##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Model based system engineering## and @@integrate data@@ are key,"""##Image optimisation## and @@code efficiency@@ are key"""
integration engineer,[],['software components suppliers'],"Take this sentence from a Job Posting.

""As always you get completely pre-defined designs by our product designer and well-structured tickets in ##Jira## by our product manager .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##software components suppliers##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As always you get completely pre-defined designs by our product designer and well-structured tickets from our ##software components suppliers## by our product manager.,"""As always you get completely pre-defined designs by our product designer and well-structured tickets in ##Jira## by our product manager ."""
computer vision engineer,['apply statistical analysis techniques'],"['computer programming', 'machine learning', 'image formation', 'statistics', 'integrated development environment software', 'digital image processing', 'resource description framework query language', 'Python (computer programming)', 'signal processing', 'principles of artificial intelligence', 'deep learning']","Take this sentence from a Job Posting.

""Skills needed Practical hands on experience with ##Python## Good understanding of ##OOP coding concepts and design patterns## Familiarity of ##Test Driven Development## approach Experience with ##Cloud technologies## is a plus Experience with ##Big Data## technologies is a plus Agile mindset and practice in ##software development process## e.g Scrum ##Kanban## ##TDD## ##BDD## Desire to @@learn modern technologies@@ for ##big data/analytics## Fluency in ##English## Job benefits: Free parking spaces for cars motorcycles and bicycles Fully paid private healthcare ( LuxMed ) & Fully paid Multisport pass Extra paid day off for your birthday Flexible working hours Integration events and company parties Gaming rooms with PS,VR billiards Table Tennis Table Football Individual training budget Up to 80% work from home scheme Creative rights scheme Referral scheme and bonus Company description: What we offer Work on world-class Big Data Platform in the team which is driving technology decisions Development opportunities including IT conferences internal training lunch and learn sessions and an individual development budget .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@apply statistical analysis techniques@@, and for knowledge: ##computer programming##, ##machine learning##, ##image formation##, ##statistics##, ##integrated development environment software##, ##digital image processing##, ##resource description framework query language##, ##Python (computer programming)##, ##signal processing##, ##principles of artificial intelligence##, ##deep learning##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Skills needed: @@apply statistical analysis techniques@@. Good understanding of ##computer programming##, ##machine learning##, and ##image formation##. Familiarity with ##statistics## and ##integrated development environment software##. Experience with ##digital image processing## and ##resource description framework query language## is a plus. Experience with ##Python (computer programming)##, ##signal processing##, ##principles of artificial intelligence##, and ##deep learning## is a plus. Agile mindset and practice in ##software development process## e.g Scrum, ##Kanban##, ##TDD##, ##BDD##. Desire to learn modern technologies for ##big data/analytics##. Fluency in ##English##. Job benefits: Free parking spaces for cars, motorcycles, and bicycles. Fully paid private healthcare (LuxMed) & Fully paid Multisport pass. Extra paid day off for your birthday. Flexible working hours. Integration events and company parties. Gaming rooms with PS, VR, billiards, Table Tennis, Table Football. Individual training budget. Up to 80% work from home scheme. Creative rights scheme. Referral scheme and bonus. Company description: What we offer: Work on world-class Big Data Platform in the team which is driving technology decisions. Development opportunities including IT conferences, internal training, lunch and learn sessions, and an individual development budget.","""Skills needed Practical hands on experience with ##Python## Good understanding of ##OOP coding concepts and design patterns## Familiarity of ##Test Driven Development## approach Experience with ##Cloud technologies## is a plus Experience with ##Big Data## technologies is a plus Agile mindset and practice in ##software development process## e.g Scrum ##Kanban## ##TDD## ##BDD## Desire to @@learn modern technologies@@ for ##big data/analytics## Fluency in ##English## Job benefits: Free parking spaces for cars motorcycles and bicycles Fully paid private healthcare ( LuxMed ) & Fully paid Multisport pass Extra paid day off for your birthday Flexible working hours Integration events and company parties Gaming rooms with PS,VR billiards Table Tennis Table Football Individual training budget Up to 80% work from home scheme Creative rights scheme Referral scheme and bonus Company description: What we offer Work on world-class Big Data Platform in the team which is driving technology decisions Development opportunities including IT conferences internal training lunch and learn sessions and an individual development budget ."""
 security manager,[],['Open source model'],"Take this sentence from a Job Posting.

""Contact: <NAME> <NAME> ( <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Do you want to learn more about us? Visit our career page or our <ORGANIZATION> profile Job benefits: Onboarding support ( e.g assistance visa application/work permit ) Up to 10 Child-Sickness-Days per year Employer-funded pension Subsidized Lunch offer ( <CONTACT> ) Subsidized public transport ticket ( VBB Umweltkarte ) Flexible working hours Open communication flat hierarchy and fast execution Free inhouse ##German## course Company & Team events ( Hackathons Beer & Cookie Fridays Parties! ) Discounted fitness offers close to the office Company description: <ORGANIZATION> is an online credit comparison We make loans transparent fair and cheap! Our Vision: We believe that the world in general and markets in particular should be transparent and fair At <ORGANIZATION> we create this transparency and fairness by providing consumers with all the information they need in order for them to enjoy the same rights and entitlements as other market participants .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Open source model##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Contact: <NAME> <NAME> ( <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Do you want to learn more about us? Visit our career page or our <ORGANIZATION> profile Job benefits: Onboarding support ( e.g assistance visa application/work permit ) Up to 10 Child-Sickness-Days per year Employer-funded pension Subsidized Lunch offer ( <CONTACT> ) Subsidized public transport ticket ( VBB Umweltkarte ) Flexible working hours Open communication flat hierarchy and fast execution Free inhouse ##Open source model## course Company & Team events ( Hackathons Beer & Cookie Fridays Parties! ) Discounted fitness offers close to the office Company description: <ORGANIZATION> is an online credit comparison We make loans transparent fair and cheap! Our Vision: We believe that the world in general and markets in particular should be transparent and fair At <ORGANIZATION> we create this transparency and fairness by providing consumers with all the information they need in order for them to enjoy the same rights and entitlements as other market participants .,"""Contact: <NAME> <NAME> ( <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Do you want to learn more about us? Visit our career page or our <ORGANIZATION> profile Job benefits: Onboarding support ( e.g assistance visa application/work permit ) Up to 10 Child-Sickness-Days per year Employer-funded pension Subsidized Lunch offer ( <CONTACT> ) Subsidized public transport ticket ( VBB Umweltkarte ) Flexible working hours Open communication flat hierarchy and fast execution Free inhouse ##German## course Company & Team events ( Hackathons Beer & Cookie Fridays Parties! ) Discounted fitness offers close to the office Company description: <ORGANIZATION> is an online credit comparison We make loans transparent fair and cheap! Our Vision: We believe that the world in general and markets in particular should be transparent and fair At <ORGANIZATION> we create this transparency and fairness by providing consumers with all the information they need in order for them to enjoy the same rights and entitlements as other market participants ."""
 system tester,[],['query languages'],"Take this sentence from a Job Posting.

""* Experience of ##automated end to end testing##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##query languages##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Experience of ##query languages##,"""* Experience of ##automated end to end testing##"""
 system developer,"['provide technical documentation', 'monitor system performance']","['R', 'systems theory']","Take this sentence from a Job Posting.

""We are looking for a @@talented@@ software developer with experience in @@delivering cloud native solutions@@ on ##AWS## ( preferred ) or other ##cloud platforms## to join us on our transformation journey .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@provide technical documentation@@, @@monitor system performance@@, and for knowledge: ##R##, ##systems theory##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",We are looking for a @@provide technical documentation@@ specialist with experience in @@monitoring system performance@@ on ##R## ( preferred ) or other ##systems theory## to join us on our transformation journey.,"""We are looking for a @@talented@@ software developer with experience in @@delivering cloud native solutions@@ on ##AWS## ( preferred ) or other ##cloud platforms## to join us on our transformation journey ."""
numerical tool and process control programmer,['advise client on technical possibilities'],['Lisp'],"Take this sentence from a Job Posting.

""Join <ORGANIZATION> Cloud Service Infrastructure team as a site reliability engineer to help @@support and scale ##cloud services##@@ for thousands of development and operations engineers .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@advise client on technical possibilities@@, and for knowledge: ##Lisp##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Join <ORGANIZATION> Cloud Service Infrastructure team as a site reliability engineer to @@advise client on technical possibilities@@ and scale ##Lisp## for thousands of development and operations engineers.,"""Join <ORGANIZATION> Cloud Service Infrastructure team as a site reliability engineer to help @@support and scale ##cloud services##@@ for thousands of development and operations engineers ."""
knowledge engineer,"['use query languages', 'define technical requirements']",[],"Take this sentence from a Job Posting.

""As a Senior Threat Hunter you will be responsible for continuously @@growing your own technical skill set@@ and @@providing technical leadership@@ within the Cyber Hunt Team .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use query languages@@, @@define technical requirements@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As a Senior Threat Hunter you will be responsible for continuously @@using query languages@@ and @@defining technical requirements@@ within the Cyber Hunt Team.,"""As a Senior Threat Hunter you will be responsible for continuously @@growing your own technical skill set@@ and @@providing technical leadership@@ within the Cyber Hunt Team ."""
digital games developer,"['utilise computer-aided software engineering tools', 'execute analytical mathematical calculations', 'use software libraries', 'create flowchart diagram', 'integrate system components', 'analyse software specifications', 'design user interface']","['computer programming', 'Assembly (computer programming)', 'STAF']","Take this sentence from a Job Posting.

""So how? Use your prior experience with ##React## or ##Vue## to @@get stuff done quickly@@ @@Have the user in mind@@ when @@creating a slick and sexy one page app@@ Work as a full member in a team of ambitious and experienced people @@Help build a huge product@@ to be proud of when you think back @@Find the latest tech@@ and @@use ##best practise## rules@@ to get the best of your thoughts into beautiful code @@Post weird tech memes@@ in our slack channel dev_random We love a perfect mix between office and remote work and are aiming for a 50/50 split between the two in the long term ( post covid ) but are flexible here as well .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@utilise computer-aided software engineering tools@@, @@execute analytical mathematical calculations@@, @@use software libraries@@, @@create flowchart diagram@@, @@integrate system components@@, @@analyse software specifications@@, @@design user interface@@, and for knowledge: ##computer programming##, ##Assembly (computer programming)##, ##STAF##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",So how? Use your prior experience with ##computer programming## or ##Assembly (computer programming)## to @@utilise computer-aided software engineering tools@@ @@execute analytical mathematical calculations@@ when @@designing user interface@@ Work as a full member in a team of ambitious and experienced people @@integrate system components@@ to be proud of when you think back @@analyse software specifications@@ and @@use ##STAF## rules@@ to get the best of your thoughts into beautiful code @@create flowchart diagram@@ in our slack channel dev_random We love a perfect mix between office and remote work and are aiming for a 50/50 split between the two in the long term ( post covid ) but are flexible here as well.,"""So how? Use your prior experience with ##React## or ##Vue## to @@get stuff done quickly@@ @@Have the user in mind@@ when @@creating a slick and sexy one page app@@ Work as a full member in a team of ambitious and experienced people @@Help build a huge product@@ to be proud of when you think back @@Find the latest tech@@ and @@use ##best practise## rules@@ to get the best of your thoughts into beautiful code @@Post weird tech memes@@ in our slack channel dev_random We love a perfect mix between office and remote work and are aiming for a 50/50 split between the two in the long term ( post covid ) but are flexible here as well ."""
 network engineer,[],"['integrated development environment software', ' problem management techniques']","Take this sentence from a Job Posting.

""* Experience with ##Docker## and ##Kubernetes##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##integrated development environment software##, ## problem management techniques##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Experience with ##integrated development environment software## and ##problem management techniques##,"""* Experience with ##Docker## and ##Kubernetes##"""
user experience analyst,['test system accessibility for users with special needs'],[],"Take this sentence from a Job Posting.

""* Passionate about @@building an innovative culture@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@test system accessibility for users with special needs@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Passionate about @@testing system accessibility for users with special needs@@,"""* Passionate about @@building an innovative culture@@"""
user interface designer,['define technical requirements'],[],"Take this sentence from a Job Posting.

""And best of all you ' ll be working with and @@sharing ideas information and innovation@@ with our global team of technologists from all over the world .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@define technical requirements@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",And best of all you ' ll be working with and @@defining technical requirements@@ with our global team of technologists from all over the world .,"""And best of all you ' ll be working with and @@sharing ideas information and innovation@@ with our global team of technologists from all over the world ."""
 consultant,['manage changes in  system'],"['visual presentation techniques', 'legal requirements of  products', 'Lean project management']","Take this sentence from a Job Posting.

""Position In this new role you will: @@Build new ways for users to discover restaurants@@ on a modern platform powered by technologies such as ##React## ##Redux## and ##GraphQL## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage changes in  system@@, and for knowledge: ##visual presentation techniques##, ##legal requirements of  products##, ##Lean project management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Position In this new role you will: @@manage changes in system@@ on a modern platform powered by knowledge such as ##visual presentation techniques##, ##legal requirements of products## and ##Lean project management##.","""Position In this new role you will: @@Build new ways for users to discover restaurants@@ on a modern platform powered by technologies such as ##React## ##Redux## and ##GraphQL## ."""
database administrator,[],"['information structure', 'XQuery', 'SPARQL', 'resource description framework query language', 'online analytical processing']","Take this sentence from a Job Posting.

""Have ##degree## in ##Interaction Design## ##Industrial Design## ##Graphic Design## or similar field related to ##Human-Computer Interaction##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##information structure##, ##XQuery##, ##SPARQL##, ##resource description framework query language##, ##online analytical processing##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Have a ##degree## in ##information structure##, ##XQuery##, ##SPARQL##, ##resource description framework query language##, or similar field related to ##online analytical processing##.","""Have ##degree## in ##Interaction Design## ##Industrial Design## ##Graphic Design## or similar field related to ##Human-Computer Interaction##"""
system configurator,['analyse software specifications'],[],"Take this sentence from a Job Posting.

""If you have a strong and relevant set of skills and are constantly @@willing to learn and improve@@ this could be an opportunity for you .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@analyse software specifications@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","If you have a strong and relevant ability to @@analyse software specifications@@ and are constantly willing to learn and improve, this could be an opportunity for you.","""If you have a strong and relevant set of skills and are constantly @@willing to learn and improve@@ this could be an opportunity for you ."""
web developer,['implement anti-virus software'],[],"Take this sentence from a Job Posting.

""@@Provide project updates to leadership@@ in various project meetings""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@implement anti-virus software@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Implement anti-virus software@@ for leadership in various project meetings.,"""@@Provide project updates to leadership@@ in various project meetings"""
 integration tester,['integrate system components'],[],"Take this sentence from a Job Posting.

""@@integrate software components into a fully functional software system@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@integrate system components@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@integrate system components into a fully functional system@@,"""@@integrate software components into a fully functional software system@@"""
knowledge engineer,['use databases'],[],"Take this sentence from a Job Posting.

""@@Coach and mentor less experienced peers@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use databases@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Use databases@@ and guide less experienced peers,"""@@Coach and mentor less experienced peers@@"""
 research consultant,['use methodologies for user-centered design'],[],"Take this sentence from a Job Posting.

""Frequently @@develops scripts to automate routine tasks@@ for team and business unit .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use methodologies for user-centered design@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Frequently @@uses methodologies for user-centered design@@ for team and business unit.,"""Frequently @@develops scripts to automate routine tasks@@ for team and business unit ."""
embedded systems software developer,"['interpret technical texts', 'develop creative ideas', 'integrate system components']",['Ansible'],"Take this sentence from a Job Posting.

""As a Front-End Engineer you will be a key driver for @@defining and implementing a scalable flexible ##frontend architecture##@@ that @@enables a consistent UX fast delivery across platforms@@ and seamless coordination between multiple product engineering teams to @@create superb end-to-end experiences@@ for more than 20 million travellers per month .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@interpret technical texts@@, @@develop creative ideas@@, @@integrate system components@@, and for knowledge: ##Ansible##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As a Front-End Engineer you will be a key driver for @@interpreting technical texts@@ and @@developing creative ideas@@ within a scalable flexible ##Ansible## that @@enables a consistent UX fast delivery across platforms@@ and seamless coordination between multiple product engineering teams to @@integrate system components@@ for more than 20 million travellers per month.,"""As a Front-End Engineer you will be a key driver for @@defining and implementing a scalable flexible ##frontend architecture##@@ that @@enables a consistent UX fast delivery across platforms@@ and seamless coordination between multiple product engineering teams to @@create superb end-to-end experiences@@ for more than 20 million travellers per month ."""
data scientist,[],"['XQuery', 'information extraction', 'statistics', 'data quality assessment', 'data models']","Take this sentence from a Job Posting.

""Experience with ##scripting## or ##automation## and ##datacenter design## – ##Python## preferred but must demonstrate knowledge in a ##scripting or compiled language## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##XQuery##, ##information extraction##, ##statistics##, ##data quality assessment##, ##data models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience with ##XQuery## or ##information extraction## and ##statistics## – ##data quality assessment## preferred but must demonstrate knowledge in a ##data models##.,"""Experience with ##scripting## or ##automation## and ##datacenter design## – ##Python## preferred but must demonstrate knowledge in a ##scripting or compiled language## ."""
 capacity planner,"['administer  system', 'apply company policies', 'develop financial statistics reports', 'improve business processes']",[],"Take this sentence from a Job Posting.

""As our team grows you will @@mentor@@ @@train@@ and @@lead by example@@ to @@cultivate design techniques and UX standards@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@administer  system@@, @@apply company policies@@, @@develop financial statistics reports@@, @@improve business processes@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","As our team grows you will @@administer system@@, @@apply company policies@@, and @@develop financial statistics reports@@ to @@improve business processes@@.","""As our team grows you will @@mentor@@ @@train@@ and @@lead by example@@ to @@cultivate design techniques and UX standards@@"""
 network administrator,[],[' system user requirements'],"Take this sentence from a Job Posting.

""##Package management##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ## system user requirements##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##System user requirements##,"""##Package management##"""
data scientist,"['disseminate results to the scientific community', 'manage intellectual property rights']",[],"Take this sentence from a Job Posting.

"". . the possibility to either @@specialize in one topic@@ and/or to build up and @@expand a broad spectrum@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@disseminate results to the scientific community@@, @@manage intellectual property rights@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",. . the possibility to either @@disseminate results to the scientific community@@ and/or to build up and @@manage intellectual property rights@@.,""". . the possibility to either @@specialize in one topic@@ and/or to build up and @@expand a broad spectrum@@ ."""
 business analyst,['identify legal requirements'],[],"Take this sentence from a Job Posting.

""@@developing desktop and mobile applications@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@identify legal requirements@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Identifying legal requirements@@,"""@@developing desktop and mobile applications@@"""
database integrator,[],['QlikView Expressor'],"Take this sentence from a Job Posting.

""Plan and scope Hunt activities based on ##Threat Intel reporting## knowledge of <ORGANIZATION> One’s network and Hunt team capabilities .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##QlikView Expressor##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Plan and scope Hunt activities based on ##QlikView Expressor## knowledge of <ORGANIZATION> One’s network and Hunt team capabilities.,"""Plan and scope Hunt activities based on ##Threat Intel reporting## knowledge of <ORGANIZATION> One’s network and Hunt team capabilities ."""
 capacity planner,[],"['labour legislation', 'systems development life-cycle', ' capacity planning strategies', 'crowdsourcing strategy', 'outsourcing strategy', 'cloud technologies', 'insourcing strategy']","Take this sentence from a Job Posting.

""Technology Stack: Java ##Java Spring framework## ( ##DI## ##Security Scheduling## ##Tx Spring## ##REST## ##Spring AOP## ) ##Spring Cloud Netflix## ( e g .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##labour legislation##, ##systems development life-cycle##, ## capacity planning strategies##, ##crowdsourcing strategy##, ##outsourcing strategy##, ##cloud technologies##, ##insourcing strategy##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Technology Stack: Java ##labour legislation## ( ##systems development life-cycle## ##capacity planning strategies## ##crowdsourcing strategy## ##outsourcing strategy## ##insourcing strategy## ) ##cloud technologies## ( e g .","""Technology Stack: Java ##Java Spring framework## ( ##DI## ##Security Scheduling## ##Tx Spring## ##REST## ##Spring AOP## ) ##Spring Cloud Netflix## ( e g ."""
 accessibility tester,[],[' accessibility standards'],"Take this sentence from a Job Posting.

""Participate in ##operational rotations## as either primary or secondary .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ## accessibility standards##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Participate in ##accessibility standards## as either primary or secondary.,"""Participate in ##operational rotations## as either primary or secondary ."""
software architect,[],['ML (computer programming)'],"Take this sentence from a Job Posting.

""##Master of Science or Engineering##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##ML (computer programming)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##ML (computer programming)##,"""##Master of Science or Engineering##"""
 auditor manager,[],"['information structure', 'systems development life-cycle', ' quality policy', 'JavaScript', ' security standards', 'PHP', 'attack vectors', ' security legislation', 'organisational resilience', 'cyber security', ' project management', 'control objectives for information and related technology', 'information confidentiality', 'legal requirements of  products', 'AJAX', 'cloud technologies', ' process quality models']","Take this sentence from a Job Posting.

""Tools & Services <CONTACT> On ##AWS:## ##Docker## on ##ECS## ##Lambda## ##SNS## ##SQS## ##S3## ##ELB## ##EC2## ##Cloudfront## ##CloudSearch## ##ElasticSearch## and more Runscope ##GhostInspector## ##BrowserStack## Analytics: ##Segment## ##Amplitude## ##BigQuery## etc .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##information structure##, ##systems development life-cycle##, ## quality policy##, ##JavaScript##, ## security standards##, ##PHP##, ##attack vectors##, ## security legislation##, ##organisational resilience##, ##cyber security##, ## project management##, ##control objectives for information and related technology##, ##information confidentiality##, ##legal requirements of  products##, ##AJAX##, ##cloud technologies##, ## process quality models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Tools & Services <CONTACT> On ##information structure##: ##systems development life-cycle## on ##quality policy## ##JavaScript## ##security standards## ##PHP## ##attack vectors## ##security legislation## ##organisational resilience## ##cyber security## and more Runscope ##project management## ##control objectives for information and related technology## ##information confidentiality## Analytics: ##legal requirements of products## ##AJAX## ##cloud technologies## etc.,"""Tools & Services <CONTACT> On ##AWS:## ##Docker## on ##ECS## ##Lambda## ##SNS## ##SQS## ##S3## ##ELB## ##EC2## ##Cloudfront## ##CloudSearch## ##ElasticSearch## and more Runscope ##GhostInspector## ##BrowserStack## Analytics: ##Segment## ##Amplitude## ##BigQuery## etc ."""
