occupation_name,skills,knowledge,prompt,original_sentences,results
digital games developer,['debug software'],[],"Take this sentence from a Job Posting.

""and you will @@boost the development of strategic@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@debug software@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",and you will @@boost the development of strategic@@,and you will @@debug software@@
 application developer,"['provide technical documentation', 'use concurrent programming', 'develop creative ideas']",['Python (computer programming)'],"Take this sentence from a Job Posting.

""You know how to work with ##MySQL## @@effectively using indexes@@ @@optimizing slow queries@@ and @@avoid common problems@@""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@provide technical documentation@@, @@use concurrent programming@@, @@develop creative ideas@@, and for knowledge: ##Python (computer programming)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You know how to work with ##MySQL## @@effectively using indexes@@ @@optimizing slow queries@@ and @@avoid common problems@@,"You know how to work with ##Python (computer programming)## @@provide technical documentation@@, @@use concurrent programming@@, and @@develop creative ideas@@ effectively."
search engine optimisation expert,['manage content development projects'],[],"Take this sentence from a Job Posting.

""You’re @@creating services directly for the end-users@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@manage content development projects@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You’re @@creating services directly for the end-users@@ .,You’re @@managing content development projects@@ directly for the end-users.
digital games developer,['develop creative ideas'],[],"Take this sentence from a Job Posting.

""@@Develop real-time data processes@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@develop creative ideas@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Develop real-time data processes@@,@@Develop creative ideas@@
 system tester,[],"['software anomalies', 'attack vectors']","Take this sentence from a Job Posting.

""Development Team Delivery Manager ( Project and Quality ) <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-01-01 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Experience level: Mid-Level Role: QA/Test Developer Technologies scrum ##qa## ##linux## Job description Fibre Only .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##software anomalies##, ##attack vectors##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Development Team Delivery Manager ( Project and Quality ) <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-01-01 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Experience level: Mid-Level Role: QA/Test Developer Technologies scrum ##qa## ##linux## Job description Fibre Only .,Development Team Delivery Manager ( Project and Quality ) <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-01-01 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Experience level: Mid-Level Role: QA/Test Developer Technologies ##software anomalies## ##attack vectors## Job description Fibre Only .
 business analyst,"['design process', 'analyse business requirements', 'implement strategic planning']",[],"Take this sentence from a Job Posting.

""@@Identify gaps in logging capabilities@@ and @@develop and propose strategies@@ to @@fill gaps@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@design process@@, @@analyse business requirements@@, @@implement strategic planning@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Identify gaps in logging capabilities@@ and @@develop and propose strategies@@ to @@fill gaps@@ .,@@Analyse business requirements@@ and @@design process@@ to @@implement strategic planning@@.
 research consultant,['conduct research across disciplines'],[],"Take this sentence from a Job Posting.

""Understand business requirements and @@deliver clean tested and maintainable code@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@conduct research across disciplines@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Understand business requirements and @@deliver clean tested and maintainable code@@,Understand business requirements and @@conduct research across disciplines@@
 business analysis manager,"['provide  consulting advice', 'use different communication channels', 'track key performance indicators']",[],"Take this sentence from a Job Posting.

""Your primary focus will be the @@development of server-side logic@@ @@definition and basic maintenance of the central database@@ and @@ensuring high performance and responsiveness to requests from different clients@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@provide  consulting advice@@, @@use different communication channels@@, @@track key performance indicators@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Your primary focus will be the @@development of server-side logic@@ @@definition and basic maintenance of the central database@@ and @@ensuring high performance and responsiveness to requests from different clients@@ .,"Your primary focus will be the @@provide consulting advice@@, @@use different communication channels@@, and @@track key performance indicators@@ for requests from different clients."
 system developer,['develop automated migration methods'],[],"Take this sentence from a Job Posting.

""Good @@communication skills@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@develop automated migration methods@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Good @@communication skills@@,Good @@develop automated migration methods@@ skills
knowledge engineer,['use query languages'],[],"Take this sentence from a Job Posting.

""@@Build and operationalize systems@@ to deploy protect <ORGANIZATION> <ORGANIZATION> endpoints""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use query languages@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Build and operationalize systems@@ to deploy protect <ORGANIZATION> <ORGANIZATION> endpoints,@@Use query languages@@ to deploy protect <ORGANIZATION> <ORGANIZATION> endpoints
digital games tester,['provide software testing documentation'],[],"Take this sentence from a Job Posting.

""@@Rehydrate ASVs@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@provide software testing documentation@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Rehydrate ASVs@@,@@Provide software testing documentation@@
 consultant,[],['Process-based management'],"Take this sentence from a Job Posting.

""* ##Spring Boot##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Process-based management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* ##Spring Boot##,* ##Process-based management##
 network architect,['analyse network bandwidth requirements'],['procurement of  network equipment'],"Take this sentence from a Job Posting.

""Looking forward to hearing from you! Job benefits: Office & work culture that feels like home away from home @@Design build & develop a product that brings real value to customers@@ Steep learning curve & growth trajectory for fast career development International open-minded fun & creative teams Centrally located loft-style office in the heart of Mitte Fully equipped office with Apple laptops & screens Plenty of team lunches outings events We offer stock options to our employees Coffee + tea + snacks & of course Friday beers Kitchen and hangout area Company description: Together with our Co-founder and CTO <NAME> our current engineering team is a tightly run ship with Frontend and Backend Engineers Product Managers and Designers We're currently looking to grow considerably in the field of ##Data Science## too To get a better sense of how we work check out and follow us on our Instagram Facebook or our home page where we regularly post fun snippets job postings and updates! $""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@analyse network bandwidth requirements@@, and for knowledge: ##procurement of  network equipment##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Looking forward to hearing from you! Job benefits: Office & work culture that feels like home away from home @@Design build & develop a product that brings real value to customers@@ Steep learning curve & growth trajectory for fast career development International open-minded fun & creative teams Centrally located loft-style office in the heart of Mitte Fully equipped office with Apple laptops & screens Plenty of team lunches outings events We offer stock options to our employees Coffee + tea + snacks & of course Friday beers Kitchen and hangout area Company description: Together with our Co-founder and CTO <NAME> our current engineering team is a tightly run ship with Frontend and Backend Engineers Product Managers and Designers We're currently looking to grow considerably in the field of ##Data Science## too To get a better sense of how we work check out and follow us on our Instagram Facebook or our home page where we regularly post fun snippets job postings and updates! $,"Looking forward to hearing from you! Job benefits: Office & work culture that feels like home away from home @@analyse network bandwidth requirements@@ Steep learning curve & growth trajectory for fast career development International open-minded fun & creative teams Centrally located loft-style office in the heart of Mitte Fully equipped office with Apple laptops & screens Plenty of team lunches outings events We offer stock options to our employees Coffee + tea + snacks & of course Friday beers Kitchen and hangout area Company description: Together with our Co-founder and CTO <NAME> our current engineering team is a tightly run ship with Frontend and Backend Engineers Product Managers and Designers We're currently looking to grow considerably in the field of ##procurement of network equipment## too To get a better sense of how we work, check out and follow us on our Instagram, Facebook or our home page where we regularly post fun snippets, job postings and updates! $"
computer scientist,['apply blended learning'],['SPARQL'],"Take this sentence from a Job Posting.

""* @@Optimize our services@@ to scale from the outset with ##telemetry##""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@apply blended learning@@, and for knowledge: ##SPARQL##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* @@Optimize our services@@ to scale from the outset with ##telemetry##,* @@Apply blended learning@@ from the outset with ##SPARQL##
user experience analyst,[],"['cognitive psychology', 'visual presentation techniques', 'SPARQL', 'query languages', 'Process-based management', 'Lean project management']","Take this sentence from a Job Posting.

""CircleCI ##Jenkins )## Experience using ##AWS EC2## and ##Elastic Beanstalk## ##RDS## ##SNS/SQS## and ##AWS Lambda## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##cognitive psychology##, ##visual presentation techniques##, ##SPARQL##, ##query languages##, ##Process-based management##, ##Lean project management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",CircleCI ##Jenkins )## Experience using ##AWS EC2## and ##Elastic Beanstalk## ##RDS## ##SNS/SQS## and ##AWS Lambda## .,"CircleCI ##cognitive psychology##) Experience using ##visual presentation techniques## and ##SPARQL##, ##query languages##, ##Process-based management## and ##Lean project management##."
blockchain developer,['implement front-end website design'],"['decentralized application frameworks', 'C++', 'Scala']","Take this sentence from a Job Posting.

""* Advanced @@programming@@ skills should be an expert in ##Java## with sound fundamentals in ##multithreading## ##concurrency## etc .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@implement front-end website design@@, and for knowledge: ##decentralized application frameworks##, ##C++##, ##Scala##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Advanced @@programming@@ skills should be an expert in ##Java## with sound fundamentals in ##multithreading## ##concurrency## etc .,"* Advanced @@implement front-end website design@@ skills should be an expert in ##decentralized application frameworks##, with sound fundamentals in ##C++##, ##Scala## etc."
 application configurator,[],['SAS language'],"Take this sentence from a Job Posting.

""Technical Skills: • ##Core Java## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##SAS language##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Technical Skills: • ##Core Java## .,Technical Skills: • ##SAS language## .
computer scientist,['publish academic research'],[],"Take this sentence from a Job Posting.

""A true @@problem solver@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@publish academic research@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",A true @@problem solver@@ .,A true @@publish academic research@@ enthusiast.
integration engineer,[],['Salt (tools for software configuration management)'],"Take this sentence from a Job Posting.

""##content Provider implementation##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Salt (tools for software configuration management)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##content Provider implementation##,##Salt (tools for software configuration management)## implementation
software tester,"['plan software testing', 'develop  test suite', 'provide software testing documentation', 'perform software unit testing']",[],"Take this sentence from a Job Posting.

""You will be @@working with early adopters@@ at <ORGANIZATION> and with internal collaborators across <ORGANIZATION> to @@collect requirements@@ and @@gather feedback@@ to @@support the development and roll-out of the software@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@plan software testing@@, @@develop  test suite@@, @@provide software testing documentation@@, @@perform software unit testing@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will be @@working with early adopters@@ at <ORGANIZATION> and with internal collaborators across <ORGANIZATION> to @@collect requirements@@ and @@gather feedback@@ to @@support the development and roll-out of the software@@ .,You will be @@plan software testing@@ at <ORGANIZATION> and with internal collaborators across <ORGANIZATION> to @@develop test suite@@ and @@provide software testing documentation@@ to @@perform software unit testing@@.
user interface developer,[],"['Haskell', 'PHP', 'JavaScript Framework', 'Swift (computer programming)', 'Salt (tools for software configuration management)']","Take this sentence from a Job Posting.

""You will be responsible for the design and delivery of the mission critical stack with focus on ##security## ##resiliency## ##scale## and ##performance## with authority for ##end-to-end performance and operability## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Haskell##, ##PHP##, ##JavaScript Framework##, ##Swift (computer programming)##, ##Salt (tools for software configuration management)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will be responsible for the design and delivery of the mission critical stack with focus on ##security## ##resiliency## ##scale## and ##performance## with authority for ##end-to-end performance and operability## .,"You will be responsible for the design and delivery of the mission critical stack with focus on ##Haskell##, ##PHP##, ##JavaScript Framework##, and ##Swift (computer programming)## with authority for ##Salt (tools for software configuration management)##."
 security manager,['manage keys for data protection'],['decision support systems'],"Take this sentence from a Job Posting.

""Experience in @@working on a cloud-based application@@ running on ##Docker## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage keys for data protection@@, and for knowledge: ##decision support systems##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience in @@working on a cloud-based application@@ running on ##Docker## .,Experience in @@managing keys for data protection@@ on ##decision support systems##.
 auditor manager,[],['web programming'],"Take this sentence from a Job Posting.

""- Have an appreciation of ##new technologies## and their use in innovative teams .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##web programming##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",- Have an appreciation of ##new technologies## and their use in innovative teams .,- Have an appreciation of ##web programming## and its use in innovative teams.
 accessibility tester,[],['Process-based management'],"Take this sentence from a Job Posting.

""* Strong background in ##Object Orientated Programming##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Process-based management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Strong background in ##Object Orientated Programming##,* Strong background in ##Process-based Management##
computer scientist,[],['information extraction'],"Take this sentence from a Job Posting.

""Proficiency in and understanding of ##Java##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##information extraction##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Proficiency in and understanding of ##Java##,Proficiency in and understanding of ##information extraction##
data scientist,['integrate  data'],[],"Take this sentence from a Job Posting.

""@@Working in a startup environment@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@integrate  data@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Working in a startup environment@@,@@Integrating data@@
database administrator,[],"['Microsoft Access', 'data storage', 'data models']","Take this sentence from a Job Posting.

""##security## ##linux## ##amazon-web-services##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Microsoft Access##, ##data storage##, ##data models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##security## ##linux## ##amazon-web-services##,##Microsoft Access## ##data storage## ##data models##
 application configurator,['apply statistical analysis techniques'],[],"Take this sentence from a Job Posting.

"". . enjoy @@developing new and successful things@@ and seeing them grow .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@apply statistical analysis techniques@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",. . enjoy @@developing new and successful things@@ and seeing them grow .,. . enjoy @@applying statistical analysis techniques@@ and seeing them grow .
 security engineer,"['define security policies', 'provide information']",[],"Take this sentence from a Job Posting.

""Innovation - you need to be @@open@@ and willing to @@adopt new ways of working@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@define security policies@@, @@provide information@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Innovation - you need to be @@open@@ and willing to @@adopt new ways of working@@ .,Innovation - you need to be @@define security policies@@ and willing to @@provide information@@.
data analyst,"['normalise data', 'manage data collection systems', 'manage cloud data and storage']",[],"Take this sentence from a Job Posting.

""As a Site Reliability Engineer ( SRE) you'll help @@build a meaningful engineering discipline@@ @@combining software and systems@@ to @@develop creative engineering solutions to operations problems@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@normalise data@@, @@manage data collection systems@@, @@manage cloud data and storage@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As a Site Reliability Engineer ( SRE) you'll help @@build a meaningful engineering discipline@@ @@combining software and systems@@ to @@develop creative engineering solutions to operations problems@@ .,"As a Site Reliability Engineer ( SRE) you'll help @@normalise data@@, @@manage data collection systems@@, and @@manage cloud data and storage@@ to develop creative engineering solutions to operations problems."
computer scientist,"['use spreadsheets software', 'operate open source software', 'perform data mining', 'manage findable accessible interoperable and reusable data', 'manage intellectual property rights', 'conduct quantitative research', 'innovate in ', 'promote open innovation in research', 'think abstractly', 'apply reverse engineering', 'implement anti-virus software', 'manage open publications', 'conduct research across disciplines']","['Apache Tomcat', 'business intelligence', 'MDX', 'software frameworks', 'data mining', 'behavioural science', 'innovation processes', 'documentation types', 'XQuery', 'emergent technologies', 'SQL', 'SPARQL', 'information extraction', 'NoSQL', 'information categorisation', 'JavaScript Framework', 'query languages', 'LDAP', 'unstructured data', 'LINQ', 'scientific research methodology', 'N1QL']","Take this sentence from a Job Posting.

""Responsibilities and Duties @@Design and build advanced applications@@ for the ##iOS## platform @@Collaborate with cross-functional teams@@ to @@define design and ship features@@ @@Work with outside data sources and API's@@ Work on @@bug fixing@@ and @@improving application performance@@ @@Continuously discover evaluate and implement new technologies@@ Qualifications and Skills Experience @@building commercial products for <ORGANIZATION> platforms ##MS@@ or BS in Computer Science## Good written and spoken ##English## Strong understanding of ##Computer Science## fundamentals Deep practical knowledge of ##iOS SDK## understanding of ##iOS app architecture## ##official platform recommendations## ##native platform tools and techniques## Practical experience with ##Swift## and ##Objective-C## Strong ##OOP/OOAD## background and ability to apply it in practice ##Performance analysis## and ##optimization techniques## fluency with ##performance analysis tools## Earnest warrior for high-quality stable and future-proof code Courage to @@take on a wide variety of ##i OS## development tasks:@@ from ##UI layout## ##asynchronous programming## to ##low level hardware-related tasks## Ability and desire to @@write unit tests@@ Experience with ##IoT## ##video streaming## ##peer-to-peer## ##Bluetooth## is a plus Proactive @@problem-solving@@ habits and @@engineering mindset We@@ offer multiple benefits that include @@Working on impactful security products@@ and the opportunity to use them personally Competitive salary and perks PE accounting and support WFH and remote working mode possibility .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@use spreadsheets software@@, @@operate open source software@@, @@perform data mining@@, @@manage findable accessible interoperable and reusable data@@, @@manage intellectual property rights@@, @@conduct quantitative research@@, @@innovate in @@, @@promote open innovation in research@@, @@think abstractly@@, @@apply reverse engineering@@, @@implement anti-virus software@@, @@manage open publications@@, @@conduct research across disciplines@@, and for knowledge: ##Apache Tomcat##, ##business intelligence##, ##MDX##, ##software frameworks##, ##data mining##, ##behavioural science##, ##innovation processes##, ##documentation types##, ##XQuery##, ##emergent technologies##, ##SQL##, ##SPARQL##, ##information extraction##, ##NoSQL##, ##information categorisation##, ##JavaScript Framework##, ##query languages##, ##LDAP##, ##unstructured data##, ##LINQ##, ##scientific research methodology##, ##N1QL##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Responsibilities and Duties @@Design and build advanced applications@@ for the ##iOS## platform @@Collaborate with cross-functional teams@@ to @@define design and ship features@@ @@Work with outside data sources and API's@@ Work on @@bug fixing@@ and @@improving application performance@@ @@Continuously discover evaluate and implement new technologies@@ Qualifications and Skills Experience @@building commercial products for <ORGANIZATION> platforms ##MS@@ or BS in Computer Science## Good written and spoken ##English## Strong understanding of ##Computer Science## fundamentals Deep practical knowledge of ##iOS SDK## understanding of ##iOS app architecture## ##official platform recommendations## ##native platform tools and techniques## Practical experience with ##Swift## and ##Objective-C## Strong ##OOP/OOAD## background and ability to apply it in practice ##Performance analysis## and ##optimization techniques## fluency with ##performance analysis tools## Earnest warrior for high-quality stable and future-proof code Courage to @@take on a wide variety of ##i OS## development tasks:@@ from ##UI layout## ##asynchronous programming## to ##low level hardware-related tasks## Ability and desire to @@write unit tests@@ Experience with ##IoT## ##video streaming## ##peer-to-peer## ##Bluetooth## is a plus Proactive @@problem-solving@@ habits and @@engineering mindset We@@ offer multiple benefits that include @@Working on impactful security products@@ and the opportunity to use them personally Competitive salary and perks PE accounting and support WFH and remote working mode possibility .,"Responsibilities and Duties @@use spreadsheets software@@ for the ##Apache Tomcat## platform @@operate open source software@@ with cross-functional teams to @@perform data mining@@ and @@manage findable accessible interoperable and reusable data@@ @@manage intellectual property rights@@ with outside data sources and API's Work on @@conduct quantitative research@@ and @@innovate in application performance@@ @@promote open innovation in research@@ and implement new ##business intelligence## Qualifications and Skills Experience @@apply reverse engineering@@ for <ORGANIZATION> platforms ##MDX## or BS in ##software frameworks## Good written and spoken ##English## Strong understanding of ##data mining## fundamentals Deep practical knowledge of ##behavioural science## understanding of ##innovation processes## ##documentation types## ##XQuery## and ##emergent technologies## Practical experience with ##SQL## and ##SPARQL## Strong ##information extraction## background and ability to apply it in practice ##NoSQL## and ##information categorisation## fluency with ##JavaScript Framework## and ##query languages## Earnest warrior for high-quality, stable and future-proof code Courage to @@implement anti-virus software@@ on a wide variety of ##LDAP## development tasks: from ##unstructured data## ##LINQ## to ##scientific research methodology## Ability and desire to @@manage open publications@@ Experience with ##N1QL## ##video streaming## ##peer-to-peer## ##Bluetooth## is a plus Proactive @@conduct research across disciplines@@ habits and @@engineering mindset We@@ offer multiple benefits that include @@Working on impactful security products@@ and the opportunity to use them personally Competitive salary and perks PE accounting and support WFH and remote working mode possibility ."
 capacity planner,[],['business process modelling'],"Take this sentence from a Job Posting.

""2 + years of experience in ##Agile## practices""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##business process modelling##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",2 + years of experience in ##Agile## practices,2 + years of experience in ##business process modelling## practices
digital games developer,"['provide technical documentation', 'design user interface']",['ABAP'],"Take this sentence from a Job Posting.

""@@Build highly reusable frontend components@@ that can be dynamically mounted in any react frontend What we’re looking for: 3-5 years of experience in @@building responsive/adaptive web applications@@ with ##JavaScript/Typescript## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@provide technical documentation@@, @@design user interface@@, and for knowledge: ##ABAP##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Build highly reusable frontend components@@ that can be dynamically mounted in any react frontend What we’re looking for: 3-5 years of experience in @@building responsive/adaptive web applications@@ with ##JavaScript/Typescript## .,@@Provide technical documentation@@ that can be dynamically mounted in any react frontend. What we’re looking for: 3-5 years of experience in @@designing user interfaces@@ with ##ABAP##.
ethical hacker,['identify  security risks'],[],"Take this sentence from a Job Posting.

""With our international omnichannel approach we are disrupting the optical industry as the pioneers in the market! Technology and data play a fundamental role in facilitating and individualizing the eyewear purchase What makes us unique is the combination of optometry and tech And we need unique talents with the same @@visionary@@ approach Our spirit of innovation is your chance to shape the traditional market and change it for good Our diverse teams from over 50 nationalities are the focal point of <ORGANIZATION> <ORGANIZATION> and they are what makes our environment so dynamic""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@identify  security risks@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",With our international omnichannel approach we are disrupting the optical industry as the pioneers in the market! Technology and data play a fundamental role in facilitating and individualizing the eyewear purchase What makes us unique is the combination of optometry and tech And we need unique talents with the same @@visionary@@ approach Our spirit of innovation is your chance to shape the traditional market and change it for good Our diverse teams from over 50 nationalities are the focal point of <ORGANIZATION> <ORGANIZATION> and they are what makes our environment so dynamic,With our international omnichannel approach we are disrupting the optical industry as the pioneers in the market! Technology and data play a fundamental role in facilitating and individualizing the eyewear purchase What makes us unique is the combination of optometry and tech And we need unique talents with the same @@identify security risks@@ approach Our spirit of innovation is your chance to shape the traditional market and change it for good Our diverse teams from over 50 nationalities are the focal point of <ORGANIZATION> <ORGANIZATION> and they are what makes our environment so dynamic
 security engineer,[],['emergent technologies'],"Take this sentence from a Job Posting.

""different types of ##Android Services##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##emergent technologies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",different types of ##Android Services##,different types of ##emergent technologies##
green  consultant,[],"[' sales methodologies', 'legal requirements of  products', ' power consumption']","Take this sentence from a Job Posting.

""##Business to Business## ##Information Technology## ##Web Technology##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ## sales methodologies##, ##legal requirements of  products##, ## power consumption##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Business to Business## ##Information Technology## ##Web Technology##,##Sales Methodologies## ##Legal Requirements of Products## ##Power Consumption##
 system tester,['replicate customer software issues'],"[' system programming', 'systems theory']","Take this sentence from a Job Posting.

""You will use ##software development best practices## have a passion for ##code development## and @@making software@@ that can be used by other members of the team .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@replicate customer software issues@@, and for knowledge: ## system programming##, ##systems theory##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will use ##software development best practices## have a passion for ##code development## and @@making software@@ that can be used by other members of the team .,You will use ##system programming## and ##systems theory## have a passion for @@replicate customer software issues@@ that can be used by other members of the team.
 security administrator,"['store digital data and systems', 'train employees']",[],"Take this sentence from a Job Posting.

""Collaborate with network vendor technical account team and internal Quality Assurance team to @@drive bug resolution@@ and @@assist in the qualification of new firmware and/or operating systems@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@store digital data and systems@@, @@train employees@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Collaborate with network vendor technical account team and internal Quality Assurance team to @@drive bug resolution@@ and @@assist in the qualification of new firmware and/or operating systems@@ .,Collaborate with network vendor technical account team and internal Quality Assurance team to @@store digital data and systems@@ and @@train employees@@.
